0,1,2,3,guid,datePublished
F41,A,27.0,14.0,US-0282551-A,1883-08-07 00:00:00+00:00
F41,A,27.0,14.0,US-0903324-A,1908-11-10 00:00:00+00:00
F41,A,27.0,14.0,US-10378851-B2,2019-08-13 00:00:00+00:00
F41,A,27.0,14.0,US-1602569-A,1926-10-12 00:00:00+00:00
F41,A,27.0,14.0,US-1643491-A,1927-09-27 00:00:00+00:00
F41,A,27.0,14.0,US-20160238067-A1,2016-08-18 00:00:00+00:00
F41,A,27.0,14.0,US-3045554-A,1962-07-24 00:00:00+00:00
F41,A,27.0,14.0,US-7513187-B1,2009-04-07 00:00:00+00:00
F41,A,27.0,14.0,US-20060117941-A1,2006-06-08 00:00:00+00:00
F41,A,27.0,14.0,US-20120137868-A1,2012-06-07 00:00:00+00:00
F41,A,27.0,14.0,US-2325610-A,1943-07-27 00:00:00+00:00
F41,A,27.0,14.0,US-8479634-B2,2013-07-09 00:00:00+00:00
F41,A,27.0,14.0,US-9494190-B2,2016-11-15 00:00:00+00:00
