0,1,2,3,guid,datePublished
F41,A,21.0,8.0,US-0012522-A,1855-03-13 00:00:00+00:00
F41,A,21.0,8.0,US-0023505-A,1859-04-05 00:00:00+00:00
F41,A,21.0,8.0,US-0053473-A,1866-03-27 00:00:00+00:00
F41,A,21.0,8.0,US-0083194-A,1868-10-20 00:00:00+00:00
F41,A,21.0,8.0,US-0196749-A,1877-11-06 00:00:00+00:00
F41,A,21.0,8.0,US-0511940-A,1894-01-02 00:00:00+00:00
F41,A,21.0,8.0,US-0793131-A,1905-06-27 00:00:00+00:00
F41,A,21.0,8.0,US-0804661-A,1905-11-14 00:00:00+00:00
F41,A,21.0,8.0,US-0946210-A,1910-01-11 00:00:00+00:00
F41,A,21.0,8.0,US-0949466-A,1910-02-15 00:00:00+00:00
F41,A,21.0,8.0,US-1056602-A,1913-03-18 00:00:00+00:00
F41,A,21.0,8.0,US-1080939-A,1913-12-09 00:00:00+00:00
F41,A,21.0,8.0,US-1177748-A,1916-04-04 00:00:00+00:00
F41,A,21.0,8.0,US-1187218-A,1916-06-13 00:00:00+00:00
F41,A,21.0,8.0,US-1190070-A,1916-07-04 00:00:00+00:00
F41,A,21.0,8.0,US-1206502-A,1916-11-28 00:00:00+00:00
F41,A,21.0,8.0,US-1303887-A,1919-05-20 00:00:00+00:00
F41,A,21.0,8.0,US-1317022-A,1919-09-23 00:00:00+00:00
F41,A,21.0,8.0,US-20020066361-A1,2002-06-06 00:00:00+00:00
F41,A,21.0,8.0,US-20170205177-A1,2017-07-20 00:00:00+00:00
F41,A,21.0,8.0,US-4195432-A,1980-04-01 00:00:00+00:00
F41,A,21.0,8.0,US-4179978-A,1979-12-25 00:00:00+00:00
F41,A,21.0,8.0,US-4094086-A,1978-06-13 00:00:00+00:00
F41,A,21.0,8.0,US-4735125-A,1988-04-05 00:00:00+00:00
F41,A,21.0,8.0,US-4604939-A,1986-08-12 00:00:00+00:00
F41,A,21.0,8.0,US-4603497-A,1986-08-05 00:00:00+00:00
F41,A,21.0,8.0,US-4481861-A,1984-11-13 00:00:00+00:00
F41,A,21.0,8.0,US-4270296-A,1981-06-02 00:00:00+00:00
F41,A,21.0,8.0,US-4228605-A,1980-10-21 00:00:00+00:00
F41,A,21.0,8.0,US-6701661-B2,2004-03-09 00:00:00+00:00
F41,A,21.0,8.0,US-6321477-B1,2001-11-27 00:00:00+00:00
F41,A,21.0,8.0,US-6250198-B1,2001-06-26 00:00:00+00:00
F41,A,21.0,8.0,US-2137612-A,1938-11-22 00:00:00+00:00
F41,A,21.0,8.0,US-3098410-A,1963-07-23 00:00:00+00:00
F41,A,21.0,8.0,US-3101027-A,1963-08-20 00:00:00+00:00
F41,A,21.0,8.0,US-3228299-A,1966-01-11 00:00:00+00:00
F41,A,21.0,8.0,US-3368454-A,1968-02-13 00:00:00+00:00
F41,A,21.0,8.0,US-3546417-A,1970-12-08 00:00:00+00:00
F41,A,21.0,8.0,US-3550300-A,1970-12-29 00:00:00+00:00
F41,A,21.0,8.0,US-3942279-A,1976-03-09 00:00:00+00:00
F41,A,21.0,8.0,US-3955299-A,1976-05-11 00:00:00+00:00
