0,1,2,3,guid,datePublished
F41,B,5.0,148.0,US-10099889-B1,2018-10-16 00:00:00+00:00
F41,B,5.0,148.0,US-10345169-B2,2019-07-09 00:00:00+00:00
F41,B,5.0,148.0,US-10852205-B2,2020-12-01 00:00:00+00:00
F41,B,5.0,148.0,US-10907926-B1,2021-02-02 00:00:00+00:00
F41,B,5.0,148.0,US-11079197-B1,2021-08-03 00:00:00+00:00
F41,B,5.0,148.0,US-11098975-B2,2021-08-24 00:00:00+00:00
F41,B,5.0,148.0,US-11221191-B2,2022-01-11 00:00:00+00:00
F41,B,5.0,148.0,US-11346633-B1,2022-05-31 00:00:00+00:00
F41,B,5.0,148.0,US-20190249968-A1,2019-08-15 00:00:00+00:00
F41,B,5.0,148.0,US-20150144119-A1,2015-05-28 00:00:00+00:00
F41,B,5.0,148.0,US-20160252321-A1,2016-09-01 00:00:00+00:00
F41,B,5.0,148.0,US-20160136793-A1,2016-05-19 00:00:00+00:00
F41,B,5.0,148.0,US-20160123694-A9,2016-05-05 00:00:00+00:00
F41,B,5.0,148.0,US-20160084608-A1,2016-03-24 00:00:00+00:00
F41,B,5.0,148.0,US-4203308-A,1980-05-20 00:00:00+00:00
F41,B,5.0,148.0,US-4674472-A,1987-06-23 00:00:00+00:00
F41,B,5.0,148.0,US-5538197-A,1996-07-23 00:00:00+00:00
F41,B,5.0,148.0,US-5495630-A,1996-03-05 00:00:00+00:00
F41,B,5.0,148.0,US-5243959-A,1993-09-14 00:00:00+00:00
F41,B,5.0,148.0,US-5243957-A,1993-09-14 00:00:00+00:00
F41,B,5.0,148.0,US-5205193-A,1993-04-27 00:00:00+00:00
F41,B,5.0,148.0,US-20080057823-A1,2008-03-06 00:00:00+00:00
F41,B,5.0,148.0,US-20080176681-A1,2008-07-24 00:00:00+00:00
F41,B,5.0,148.0,US-20090071022-A1,2009-03-19 00:00:00+00:00
F41,B,5.0,148.0,US-20110277738-A1,2011-11-17 00:00:00+00:00
F41,B,5.0,148.0,US-20120181335-A1,2012-07-19 00:00:00+00:00
F41,B,5.0,148.0,US-20130012343-A1,2013-01-10 00:00:00+00:00
F41,B,5.0,148.0,US-20130042849-A1,2013-02-21 00:00:00+00:00
F41,B,5.0,148.0,US-20130072332-A1,2013-03-21 00:00:00+00:00
F41,B,5.0,148.0,US-20130105049-A1,2013-05-02 00:00:00+00:00
F41,B,5.0,148.0,US-20130116071-A1,2013-05-09 00:00:00+00:00
F41,B,5.0,148.0,US-20140026875-A1,2014-01-30 00:00:00+00:00
F41,B,5.0,148.0,US-20140216212-A1,2014-08-07 00:00:00+00:00
F41,B,5.0,148.0,US-20210348874-A1,2021-11-11 00:00:00+00:00
F41,B,5.0,148.0,US-3945368-A,1976-03-23 00:00:00+00:00
F41,B,5.0,148.0,US-7972230-B2,2011-07-05 00:00:00+00:00
F41,B,5.0,148.0,US-8096059-B2,2012-01-17 00:00:00+00:00
F41,B,5.0,148.0,US-8528535-B2,2013-09-10 00:00:00+00:00
F41,B,5.0,148.0,US-8627813-B1,2014-01-14 00:00:00+00:00
F41,B,5.0,148.0,US-8833350-B1,2014-09-16 00:00:00+00:00
F41,B,5.0,148.0,US-9243863-B1,2016-01-26 00:00:00+00:00
F41,B,5.0,148.0,US-9259825-B2,2016-02-16 00:00:00+00:00
F41,B,5.0,148.0,US-9903682-B1,2018-02-27 00:00:00+00:00
F41,B,5.0,148.0,US-9915494-B2,2018-03-13 00:00:00+00:00
F41,B,5.0,148.0,US-9933230-B1,2018-04-03 00:00:00+00:00
F41,B,5.0,148.0,US-9962819-B2,2018-05-08 00:00:00+00:00
